variant_id,orderquantity,unitprice,view,add_to_cart,best_seller_of_month,best_seller_next_month
438,17,2.08,22,17,False,False
442,21,194.3,38,24,False,False
468,40,22.72,49,42,False,False
478,46,5.81,58,50,False,False
479,5,67.84,5,6,False,False
482,43,30.42,102,43,False,False
485,12,43.22,26,12,False,False
486,70,32.48,189,70,True,False
490,35,13.43,99,38,False,False
494,36,60.22,50,36,False,False
498,40,27.75,42,41,False,False
499,3,161.55,8,3,False,False
512,19,6.64,49,20,False,False
515,38,420.98,90,43,False,False
520,25,896.99,47,27,False,False
528,46,15.99,77,55,False,False
539,36,15.22,86,36,False,False
541,1,7.68,2,1,False,False
559,37,350.99,73,41,False,False
564,15,25.98,19,17,False,False
574,41,4.98,85,44,False,False
577,23,11.7,43,24,False,False
583,18,119.99,23,20,False,False
588,21,115.99,42,23,False,False
597,42,14.42,90,46,False,False
598,13,14.81,39,15,False,False
606,4,291.73,9,4,False,False
607,23,320.98,25,27,False,False
608,62,355.98,179,67,True,False
614,5,243.98,6,5,False,False
618,31,70.98,87,33,False,False
624,43,100.98,129,47,False,False
625,37,31.76,42,38,False,False
629,6,78.65,8,7,False,False
631,27,7.77,72,28,False,False
650,10,39.98,18,12,False,False
651,65,30.98,90,78,True,False
662,49,4.91,121,55,True,False
667,23,15.98,66,25,False,True
673,30,5.02,50,34,False,False
677,34,33.98,102,34,False,False
681,11,4.2,20,11,False,False
695,18,207.48,38,20,False,False
697,18,73.98,37,20,False,False
699,2,73.98,6,2,False,False
729,41,209.84,121,42,False,False
731,26,125.99,50,28,False,False
743,33,16.48,72,33,False,False
749,6,28.48,13,7,False,False
750,42,31.78,42,44,False,False
753,34,9.78,86,36,False,False
755,43,1.81,96,47,False,False
767,27,179.99,80,29,False,False
770,32,162.93,65,34,False,False
773,73,11.55,97,81,True,False
775,6,1.76,12,7,False,False
782,49,1.68,136,50,True,False
789,9,2.88,25,9,False,False
790,41,4.28,87,49,False,False
791,63,3.28,143,69,True,False
792,36,2.94,83,39,False,False
793,24,2.78,27,26,False,False
794,41,2.88,82,48,False,False
795,29,3.28,58,31,False,False
803,23,150.98,23,24,False,False
807,30,14.34,70,32,False,False
820,50,1.14,61,51,True,False
824,42,160.98,64,46,False,False
825,48,350.98,104,49,False,False
829,23,306.14,49,23,False,False
830,19,399.98,30,22,False,False
836,6,32.98,7,7,False,False
841,36,264.98,66,36,False,False
842,36,145.45,91,43,False,False
843,4,213.45,11,4,False,False
844,69,297.64,91,75,True,False
847,12,11.58,27,12,False,False
850,75,5.98,106,83,True,False
858,80,574.74,198,80,True,False
860,7,6783.02,7,7,False,False
867,33,1.68,89,39,False,False
868,46,30.44,112,55,False,False
869,30,20.98,35,34,False,False
870,20,2.98,50,20,False,False
889,30,4.98,36,34,False,False
890,30,7.64,82,30,False,False
895,62,880.98,182,72,True,False
901,6,110.98,17,6,False,False
915,30,238.4,81,30,False,False
916,9,95.99,24,9,False,False
921,17,2.1,24,18,False,False
926,16,279.81,27,16,False,False
927,24,328.14,52,27,False,False
935,18,7.64,35,21,False,False
962,59,19.98,118,59,True,True
997,12,10.14,15,13,False,False
1011,36,2.18,102,38,False,False
1019,12,110.99,33,13,False,False
1023,14,95.99,18,14,False,False
1032,34,8.01,44,35,False,False
1036,10,40.98,15,12,False,False
1038,47,6.35,60,52,False,False
1039,77,279.48,120,79,True,False
1045,17,15.51,19,20,False,False
1050,6,20.34,14,6,False,False
1058,44,12.99,89,49,False,False
1071,11,90.48,33,13,False,False
1074,46,49.99,120,47,False,False
1085,38,205.99,68,41,False,False
1091,31,39.24,51,31,False,False
1103,43,15.04,84,48,False,False
1111,34,5.18,100,39,False,False
1120,7,7.04,20,8,False,False
1127,18,11.34,25,21,False,False
1135,29,48.91,41,33,False,False
1144,34,30.98,82,34,False,False
1146,50,5.98,71,51,True,False
1153,13,48.04,34,13,False,False
1174,13,18.97,16,13,False,False
1175,1,55.48,3,1,False,False
1178,11,5.98,24,12,False,False
1215,26,22.84,77,26,False,False
1220,16,6.48,42,16,False,False
1242,46,6.48,105,52,False,False
1246,15,5.28,20,15,False,False
1248,53,7.84,93,54,True,False
1253,45,65.99,132,54,False,False
3,4,8.74,10,4,False,False
29,39,294.62,80,41,False,False
48,44,8.09,107,44,False,False
63,48,39.48,106,53,True,False
64,25,8.33,32,28,False,True
69,17,13.79,29,19,False,False
88,26,35.99,47,28,False,False
99,20,35.99,26,21,False,False
135,20,6.88,38,21,False,False
139,20,7.98,41,24,False,False
140,2,6.04,3,2,False,False
150,36,5.81,64,37,False,False
155,5,12.22,6,5,False,False
162,22,7.28,48,25,False,False
166,43,240.98,77,44,False,False
185,85,4.91,139,85,True,False
188,17,3.08,38,18,False,False
197,48,3.75,89,50,True,False
223,37,8.6,58,39,False,False
230,31,10.44,52,31,False,False
234,40,1.7,80,47,False,False
236,43,146.05,100,48,False,False
257,12,48.58,18,14,False,False
263,41,259.71,51,45,False,False
291,8,218.75,17,8,False,False
293,8,348.21,17,9,False,False
296,46,417.4,93,49,False,False
309,22,6.37,53,25,False,False
315,15,699.99,33,17,False,False
318,22,150.98,43,23,False,False
329,44,20.28,65,48,False,False
330,31,80.98,87,36,False,False
338,34,236.97,66,36,False,False
344,22,37.76,56,22,False,False
346,3,18.97,3,3,False,False
374,22,50.98,39,24,False,False
376,31,10.68,70,33,False,False
383,10,62.18,29,12,False,False
385,39,29.18,55,41,False,False
396,23,3.8,65,27,False,False
398,15,55.48,27,17,False,False
408,42,90.98,95,50,False,False
410,22,41.47,49,25,False,False
415,49,9.65,136,58,True,False
435,15,9.98,35,18,False,False
442,42,194.3,96,50,False,False
454,37,4.06,104,38,False,False
460,17,60.98,27,20,False,False
463,24,19.23,30,27,False,False
475,30,33.29,61,32,False,False
478,41,5.81,48,48,False,False
481,14,176.19,19,14,False,False
490,14,13.43,26,14,False,False
503,13,9.71,17,14,False,False
514,38,15.16,44,43,False,False
524,13,14.27,17,15,False,False
531,1,12.53,3,1,False,False
540,18,120.98,26,18,False,False
542,47,14.48,66,47,False,False
554,36,270.98,53,42,False,False
557,49,122.99,74,53,True,False
562,46,300.98,74,53,False,False
568,30,159.99,68,30,False,False
571,10,6.68,28,11,False,False
575,42,34.23,74,44,False,False
590,45,80.97,82,47,False,False
591,39,500.98,51,40,False,False
608,30,355.98,37,35,False,False
638,3,178.47,7,3,False,False
640,34,78.69,80,38,False,False
646,50,34.99,135,54,True,False
664,23,8.32,55,27,False,False
667,47,15.98,55,51,True,False
671,82,4.98,113,84,True,False
700,4,2.08,12,4,False,False
703,31,154.13,32,35,False,False
707,16,71.37,39,19,False,False
712,7,2036.48,9,8,False,False
713,41,80.97,99,46,False,False
738,36,5.08,86,41,False,False
745,9,12.97,19,10,False,False
755,18,33.94,37,20,False,False
759,38,83.1,75,42,False,False
767,4,179.99,11,4,False,False
778,37,5.98,104,38,False,False
793,31,2.78,92,32,False,False
796,3,2.94,8,3,False,False
814,10,130.98,29,11,False,False
815,44,120.98,120,48,False,False
820,38,1.14,84,38,False,False
824,45,160.98,103,53,False,False
831,40,442.14,108,47,False,False
842,33,145.45,58,36,False,False
847,15,11.58,27,18,False,False
848,32,2.16,78,36,False,False
857,2,999.99,3,2,False,False
859,5,1938.02,13,5,False,False
863,14,17.7,15,15,False,False
864,29,7.28,75,31,False,False
881,6,195.99,11,6,False,False
906,17,138.14,18,18,False,False
919,48,2.88,60,55,True,False
926,23,279.81,48,24,False,False
936,15,7.31,35,16,False,False
946,20,499.99,29,23,False,False
947,7,13.99,11,7,False,False
960,20,8.34,44,23,False,False
962,77,19.98,214,87,True,False
963,48,7.28,118,55,True,False
985,22,2.98,63,26,False,False
993,24,5.68,49,28,False,False
1000,16,125.99,17,18,False,False
1001,24,65.99,68,28,False,False
1002,38,115.99,65,39,False,False
1003,4,205.99,10,4,False,False
1018,46,30.56,84,46,False,False
1021,23,195.99,61,24,False,False
1029,28,11.99,42,29,False,False
1034,48,205.99,132,52,True,False
1037,9,3.6,11,10,False,False
1040,20,105.98,44,22,False,False
1049,4,60.65,4,4,False,False
1053,19,20.98,51,22,False,False
1060,28,125.99,75,29,False,False
1061,18,205.99,32,20,False,True
1067,20,6.7,34,22,False,False
1083,29,125.99,63,34,False,False
1094,50,29.89,121,51,True,False
1095,37,45.19,47,43,False,False
1105,66,5.34,150,73,True,False
1110,45,7.1,62,48,False,False
1112,24,40.98,55,27,False,False
1126,33,11.29,60,37,False,False
1127,41,11.34,106,48,False,False
1159,46,6.68,91,46,False,False
1196,37,4.28,64,40,False,False
1203,46,30.98,104,46,False,False
1208,29,5.98,32,30,False,False
1217,31,6.48,46,35,False,False
1221,6,6.48,14,7,False,False
1229,35,6.48,36,40,False,False
1236,37,6.48,43,41,False,False
1250,18,49.99,44,21,False,False
3,33,8.74,47,33,False,False
4,35,7.64,91,37,False,False
7,20,4.84,55,21,False,False
16,27,20.99,64,29,False,False
20,39,175.99,47,44,False,False
42,55,175.99,86,58,True,False
52,36,65.99,49,41,False,False
63,17,39.48,35,20,False,False
64,47,8.33,124,56,True,False
67,19,65.99,28,19,False,False
71,3,4.13,8,3,False,False
75,6,99.99,10,7,False,False
95,1,55.99,2,1,False,False
97,44,20.99,120,45,False,False
98,19,85.99,31,19,False,False
99,39,35.99,68,45,False,False
100,5,55.99,15,5,False,False
102,52,35.99,107,62,True,False
115,35,4.91,75,38,False,False
123,4,6.84,5,4,False,False
142,16,152.48,27,18,False,False
144,13,30.93,36,14,False,False
175,9,2.61,13,9,False,False
182,10,2.88,24,10,False,False
185,9,4.91,14,9,False,False
190,3,3.69,6,3,False,False
222,42,14.28,53,43,False,False
223,36,8.6,101,37,False,False
233,25,3.38,58,27,False,False
239,23,138.75,40,24,False,False
243,7,19.98,9,8,False,False
244,17,17.98,46,19,False,False
266,6,179.29,7,6,False,False
277,11,9.11,26,11,False,False
284,17,21.38,49,20,False,False
292,21,3.25,22,22,False,False
302,44,220.98,127,49,False,False
305,46,100.98,129,48,True,False
307,14,230.98,21,15,False,False
317,84,51.98,197,89,True,False
318,27,150.98,80,27,False,False
319,7,17.98,7,8,False,False
322,3,599.99,8,3,False,False
325,1,3499.99,1,1,False,False
342,6,14.2,11,7,False,False
346,30,18.97,80,32,False,False
362,6,9.48,10,6,False,False
369,27,500.98,71,29,False,False
372,31,47.98,68,33,False,False
377,6,15.42,16,6,False,False
381,49,51.65,106,57,True,False
383,34,62.18,93,39,False,False
384,20,92.23,32,24,False,False
399,31,4.0,67,31,False,False
414,20,10.64,43,21,False,False
436,42,15.14,122,50,False,False
438,47,2.08,123,54,True,False
448,5,1500.97,14,5,False,False
451,9,270.97,21,9,False,False
460,26,60.98,31,31,False,False
463,42,19.23,93,46,False,False
464,29,18.7,61,29,False,False
469,48,10.4,139,54,True,False
470,29,30.73,75,34,False,False
480,5,34.98,5,5,False,False
493,44,55.94,48,47,False,False
495,50,193.17,59,59,True,False
499,15,161.55,34,15,False,False
512,17,6.64,29,20,False,False
515,41,420.98,90,41,False,False
537,11,24.92,14,12,False,False
558,11,150.89,13,13,False,False
560,36,200.98,85,43,False,False
562,11,300.98,31,11,False,False
564,6,25.98,10,7,False,False
571,42,6.68,77,46,False,False
572,29,5.78,81,29,False,False
579,44,10.91,101,52,False,False
586,33,400.97,89,36,False,False
590,46,80.97,111,46,False,False
592,6,1637.53,14,7,False,False
596,20,225.04,35,22,False,False
600,27,68.81,39,32,False,False
602,14,280.98,22,16,False,False
608,16,355.98,25,17,False,False
611,45,296.18,106,49,False,False
612,10,113.98,24,11,False,False
629,32,78.65,57,32,False,False
646,46,34.99,88,55,False,False
659,47,3.98,76,51,True,False
678,79,8.12,114,88,True,False
683,29,20.89,41,29,False,False
687,38,45.99,38,41,False,False
699,35,73.98,82,35,False,False
703,38,154.13,41,44,False,True
711,3,16.06,5,3,False,False
713,11,80.97,13,11,False,False
714,20,90.97,53,20,False,False
718,26,28.53,65,27,False,False
719,73,15.98,149,76,True,False
740,11,7.59,26,11,False,False
748,6,15.28,13,7,False,False
749,25,28.48,48,27,False,False
763,23,39.98,30,26,False,False
775,17,1.76,29,18,False,False
778,41,5.98,95,47,False,False
780,5,4.28,12,5,False,False
791,27,3.28,64,30,False,False
795,28,3.28,56,33,False,False
805,33,12.64,43,36,False,False
816,45,200.98,50,50,False,False
824,44,160.98,83,47,False,False
842,32,145.45,47,32,False,False
843,46,213.45,102,48,False,False
845,20,517.48,33,20,False,False
846,14,15.57,40,14,False,False
860,16,6783.02,46,16,False,False
867,18,1.68,36,20,False,False
872,28,5.34,65,33,False,False
873,25,4.55,64,28,False,False
883,36,8.95,80,36,False,False
902,1,170.98,2,1,False,False
903,30,160.98,90,36,False,False
914,2,125.99,5,2,False,False
922,43,6.68,97,48,False,False
947,36,13.99,104,42,False,False
959,39,28.99,95,39,False,False
962,9,19.98,12,10,False,False
972,90,9.78,167,90,True,False
973,37,11.34,90,40,False,False
976,25,11.97,64,30,False,False
990,56,12.28,86,56,True,False
992,25,11.97,74,25,False,False
993,20,5.68,60,23,False,False
997,1,10.14,1,1,False,False
1017,28,14.98,48,29,False,False
1036,27,40.98,33,28,False,False
1039,9,19.99,15,9,False,False
1044,25,107.53,41,28,False,False
1047,37,13.48,51,38,False,False
1053,18,20.98,28,21,False,False
1061,46,205.99,71,51,True,False
1071,15,90.48,26,15,False,False
1073,36,99.99,70,38,False,False
1105,45,5.34,54,49,False,False
1111,7,5.18,10,7,False,False
1112,8,40.98,8,9,False,False
1127,2,11.34,2,2,False,False
1130,31,55.98,72,34,False,False
1153,18,48.04,38,21,False,False
1168,23,12.28,33,26,False,False
1178,39,5.98,105,39,False,False
1189,36,4.98,48,42,False,False
1190,48,4.28,105,55,True,False
1192,2,22.84,2,2,False,False
1196,24,4.28,29,24,False,False
1199,23,5.98,62,23,False,False
1215,25,22.84,45,26,False,False
1217,7,6.48,14,7,False,False
1225,30,6.48,49,32,False,False
1226,16,6.48,43,16,False,False
1227,9,6.48,24,9,False,False
1230,19,6.48,46,20,False,False
1248,29,7.84,75,34,False,False
1255,2,125.99,2,2,False,False
7,16,4.84,45,19,False,False
9,2,2.89,2,2,False,False
14,40,19.98,71,45,False,False
15,7,48.04,8,8,False,False
17,7,15.99,17,7,False,False
46,43,115.99,81,47,False,False
50,14,45.99,36,15,False,False
52,34,65.99,40,37,False,False
65,40,65.99,52,40,False,False
75,23,99.99,67,25,False,False
91,46,35.99,94,50,False,False
93,35,85.99,72,41,False,False
94,30,35.99,85,35,False,False
108,33,29.1,53,37,False,False
111,14,29.74,33,14,False,False
130,54,8.34,96,58,True,False
143,33,59.76,74,34,False,False
149,29,2.18,63,34,False,False
155,35,12.22,101,41,False,False
162,2,7.28,4,2,False,False
168,31,300.98,88,36,False,False
176,42,6.3,75,50,False,False
180,20,12.53,59,20,False,False
183,28,4.13,83,33,False,False
185,47,4.91,57,48,False,False
194,10,2.88,17,11,False,False
195,28,4.91,50,29,False,False
196,3,6.3,3,3,False,False
203,10,58.1,19,11,False,False
209,26,22.38,69,26,False,False
216,34,3.38,94,34,False,False
219,47,20.98,137,56,False,False
254,35,42.98,61,40,False,False
263,43,259.71,116,50,False,False
275,50,46.89,79,55,True,False
283,43,22.01,53,46,False,False
288,37,22.99,95,39,False,False
294,20,400.98,60,24,False,False
301,82,212.6,159,92,True,False
305,8,100.98,14,9,False,False
306,49,100.98,108,53,True,False
320,20,199.99,23,24,False,False
340,35,3.69,87,35,False,False
346,40,18.97,48,46,False,False
357,41,5.77,113,48,False,False
361,36,9.77,87,36,False,False
378,18,15.42,26,19,False,False
383,29,62.18,68,29,False,False
391,45,36.55,91,53,False,False
399,19,4.0,26,19,False,False
406,30,79.52,90,34,False,False
410,38,41.47,60,40,False,False
411,21,40.89,38,21,False,False
426,30,3.34,51,35,False,False
447,14,2550.14,23,15,False,False
461,54,17.67,77,63,True,False
487,17,89.83,36,20,False,False
490,76,13.43,90,78,True,False
493,25,55.94,29,28,False,False
501,34,8.04,38,36,False,False
505,21,10.98,21,25,False,False
510,46,2.12,89,53,False,False
511,18,6.98,49,18,False,False
514,28,15.16,51,30,False,False
516,36,525.98,52,36,False,False
517,24,165.98,71,24,False,False
524,13,14.27,27,13,False,False
526,8,7.38,24,8,False,False
556,18,180.98,38,18,False,False
557,41,122.99,63,41,False,False
559,41,350.99,47,49,False,False
561,25,89.99,40,25,False,False
563,28,60.89,55,31,False,False
566,28,52.99,58,28,False,False
567,27,4.42,58,32,False,False
569,15,100.97,44,15,False,False
570,52,300.97,81,53,True,False
577,33,11.7,48,39,False,False
586,39,400.97,76,43,False,False
598,31,14.81,51,31,False,False
599,1,11.33,1,1,False,False
601,32,34.76,63,37,False,False
608,40,355.98,40,40,False,False
611,18,296.18,30,18,False,False
616,20,226.67,46,24,False,False
629,29,78.65,58,32,False,False
632,8,4.48,20,8,False,False
636,21,363.25,29,23,False,False
638,3,178.47,3,3,False,False
646,2,34.99,4,2,False,False
650,14,39.98,29,14,False,False
653,23,11.5,27,25,False,False
675,38,35.41,75,42,False,False
677,28,33.98,82,29,False,False
679,50,4.77,124,55,True,False
688,24,195.99,40,27,False,False
692,16,90.24,31,19,False,False
698,36,40.48,107,38,False,False
703,49,154.13,134,55,True,False
708,45,142.86,56,53,False,False
721,62,100.98,158,66,True,False
731,2,125.99,5,2,False,False
735,50,12.88,87,51,True,False
740,21,7.59,31,22,False,False
752,41,22.98,73,41,False,False
779,29,2.78,61,33,False,False
784,11,1.76,18,13,False,False
790,9,4.28,26,10,False,False
794,1,2.88,3,1,False,False
795,5,3.28,6,5,False,False
800,45,4.57,75,52,False,False
801,9,60.98,12,10,False,False
819,38,3.58,79,40,False,False
822,64,130.98,113,69,True,True
839,43,21.98,91,51,False,False
853,1,14.97,3,1,False,False
873,37,4.55,81,42,False,False
891,28,1.76,63,28,False,False
902,38,170.98,107,40,False,False
910,29,349.45,33,34,False,False
912,29,7.08,64,33,False,False
914,37,125.99,75,37,False,False
927,29,328.14,41,31,False,False
934,19,140.98,53,21,False,False
951,61,419.19,171,65,True,False
953,17,37.94,30,20,False,False
960,37,8.34,78,39,False,False
961,11,9.06,27,13,False,False
978,11,5.58,28,13,False,False
998,1,1.88,3,1,False,False
999,58,125.99,138,63,True,False
1008,8,35.51,11,9,False,False
1018,44,30.56,56,45,False,False
1022,36,155.99,41,36,False,False
1028,46,40.97,71,50,False,False
1036,26,40.98,64,26,False,False
1049,39,60.65,92,46,False,False
1060,44,125.99,52,49,False,False
1065,49,70.97,79,53,True,False
1071,11,90.48,28,12,False,False
1075,40,39.89,89,48,False,False
1097,20,5.98,46,23,False,False
1114,37,2.78,96,39,False,False
1119,29,5.43,64,32,False,False
1135,16,48.91,19,19,False,False
1137,26,40.99,76,27,False,False
1138,11,6.48,17,13,False,False
1167,39,35.44,95,42,False,False
1168,13,12.28,18,13,False,False
1173,11,47.9,31,11,False,False
1175,46,55.48,55,52,False,False
1183,12,30.98,22,13,False,False
1186,5,5.28,11,5,False,False
1215,5,22.84,11,6,False,False
1237,49,6.48,90,55,False,False
1247,13,19.98,18,15,False,False
1252,36,65.99,102,39,False,False
1255,7,125.99,18,7,False,False
2,82,15.67,137,83,True,False
4,36,7.64,54,36,False,False
10,21,3.68,48,23,False,False
16,41,20.99,58,47,False,False
21,42,65.99,80,44,False,False
26,21,125.99,54,21,False,False
37,51,5.4,127,54,True,False
45,39,65.99,112,42,False,False
48,27,8.09,79,31,False,False
82,13,55.99,23,14,False,False
87,38,20.99,106,44,False,False
94,26,35.99,40,31,False,False
95,37,55.99,61,42,False,False
96,2,20.99,2,2,False,False
97,13,20.99,39,15,False,False
100,33,55.99,56,33,False,False
125,34,13.9,74,35,False,False
148,40,5.0,111,44,False,False
161,1,5.18,1,1,False,False
180,18,12.53,19,18,False,False
186,40,2.61,47,46,False,True
217,4,5.84,6,4,False,False
243,19,19.98,32,20,False,False
245,62,120.98,103,63,True,False
252,30,30.98,38,35,False,False
255,2,27.48,5,2,False,False
261,26,262.11,67,26,False,False
277,29,9.11,78,31,False,False
285,45,25.98,85,48,False,False
296,2,417.4,5,2,False,False
297,7,1.98,11,7,False,False
299,15,16.98,21,17,False,False
306,4,100.98,7,4,False,False
319,34,17.98,41,34,False,False
326,43,4.98,117,48,False,False
327,15,3.36,24,16,False,False
342,50,14.2,134,57,True,False
360,48,26.48,77,52,False,False
386,2,415.88,3,2,False,False
388,18,5.85,52,20,False,False
396,14,3.8,21,15,False,False
399,39,4.0,106,41,False,False
400,44,2.08,128,52,False,False
407,43,55.5,69,45,False,False
408,42,90.98,115,42,False,False
420,33,2.23,44,33,False,False
423,11,1.74,13,11,False,False
429,2,6.28,3,2,False,False
441,47,49.34,78,53,False,False
477,43,11.7,112,46,False,False
482,28,30.42,34,32,False,False
490,2,13.43,3,2,False,False
503,5,9.71,7,5,False,False
520,4,896.99,5,4,False,False
528,10,15.99,22,10,False,False
538,33,122.99,64,38,False,False
540,30,120.98,52,35,False,False
543,25,31.74,67,28,False,False
547,42,280.98,61,48,False,False
548,34,150.98,37,35,False,False
570,6,300.97,18,6,False,False
573,14,9.99,22,14,False,False
575,19,34.23,37,21,False,False
578,22,256.99,24,24,False,False
581,49,12.99,134,56,True,False
588,15,115.99,31,16,False,False
597,17,14.42,25,18,False,False
599,9,11.33,14,10,False,False
600,47,68.81,86,49,False,False
612,30,113.98,35,33,False,False
623,45,227.55,64,47,False,False
632,35,4.48,76,40,False,False
638,25,178.47,56,28,False,False
640,44,78.69,74,47,False,False
646,23,34.99,41,27,False,False
654,3,172.99,8,3,False,False
660,45,39.06,112,45,False,False
664,34,8.32,57,37,False,False
666,31,5.98,66,35,False,False
678,32,8.12,59,33,False,False
679,24,4.77,26,26,False,False
691,15,20.48,18,17,False,False
693,8,40.98,19,9,False,False
697,93,73.98,159,110,True,False
713,31,80.97,66,36,False,False
716,52,218.08,111,59,True,False
718,18,28.53,21,20,False,False
739,46,7.28,135,48,False,False
741,46,4.89,107,53,False,False
743,19,16.48,44,20,False,False
757,46,77.51,84,49,False,False
770,7,162.93,10,7,False,False
774,4,4.13,7,4,False,False
781,18,3.28,37,18,False,False
794,37,2.88,65,44,False,False
796,23,2.94,27,23,False,False
799,12,3.28,30,12,False,False
819,10,3.58,10,11,False,False
822,50,130.98,150,50,True,False
824,49,160.98,80,52,False,False
847,6,11.58,15,7,False,False
848,18,2.16,43,21,False,False
863,30,17.7,86,30,False,False
872,35,5.34,45,35,False,False
873,24,4.55,65,24,False,False
874,26,19.84,54,27,False,False
882,43,8.34,124,43,False,False
889,40,4.98,72,47,False,False
904,39,276.2,104,41,False,False
907,7,128.24,19,7,False,False
910,40,349.45,56,48,False,False
937,23,3.15,62,25,False,False
943,2,29.34,2,2,False,False
953,22,37.94,40,22,False,False
956,90,6.48,198,106,True,False
982,49,30.98,147,50,True,False
985,3,2.98,7,3,False,False
986,55,2.62,107,65,True,False
994,41,10.98,111,46,False,False
1012,71,5.94,114,82,True,False
1018,48,30.56,128,54,False,False
1023,35,95.99,101,38,False,False
1030,31,23.99,33,33,False,False
1035,64,65.99,116,65,True,False
1038,36,6.35,88,40,False,False
1053,44,20.98,58,48,False,False
1056,27,279.48,81,32,False,False
1061,6,205.99,16,7,False,False
1064,1,60.97,3,1,False,False
1069,34,27.18,79,38,False,False
1070,28,35.94,32,30,False,False
1079,16,5.98,23,16,False,False
1082,38,125.99,42,45,False,False
1094,43,29.89,116,45,False,False
1096,83,37.7,171,98,True,False
1099,32,23.99,86,34,False,False
1102,29,40.99,60,31,False,False
1106,12,5.44,27,14,False,False
1109,44,42.8,125,51,False,False
1110,25,7.1,31,28,False,False
1112,37,40.98,85,44,False,False
1114,48,2.78,127,54,False,False
1122,4,9.27,11,4,False,False
1125,27,4.76,46,30,False,False
1131,22,26.38,46,22,False,False
1141,26,4.98,74,26,False,False
1142,45,6.68,76,46,False,False
1158,28,4.98,51,28,False,False
1168,5,12.28,11,6,False,False
1173,5,47.9,9,6,False,False
1178,11,5.98,28,11,False,False
1180,29,4.98,61,30,False,False
1181,44,6.68,59,48,False,False
1183,40,30.98,120,46,False,False
1184,8,4.98,17,8,False,False
1186,40,5.28,118,41,False,False
1201,24,6.68,69,27,False,False
1230,49,6.48,60,57,False,False
1231,50,6.48,75,58,True,False
1232,11,6.48,27,11,False,False
1235,5,6.48,7,5,False,False
1242,24,6.48,44,26,False,False
1245,72,6.48,157,81,True,False
1255,19,125.99,19,19,False,False
1256,22,65.99,41,22,False,False
3,37,8.74,57,40,False,False
7,2,4.84,2,2,False,False
10,46,3.68,62,54,False,False
19,30,200.99,42,36,False,False
40,24,3.98,69,25,False,False
41,15,200.99,26,18,False,False
45,26,65.99,43,31,False,False
64,42,8.33,54,47,False,False
67,24,65.99,27,24,False,False
68,13,115.99,18,14,False,True
72,25,4.13,34,26,False,False
92,7,55.99,19,8,False,False
96,17,20.99,46,17,False,False
98,16,85.99,17,16,False,False
99,29,35.99,43,34,False,False
102,24,35.99,65,28,False,False
118,1,44.01,3,1,False,False
130,15,8.34,24,16,False,False
142,31,152.48,76,37,False,False
144,42,30.93,105,48,False,False
151,33,17.15,46,39,False,False
157,18,4.48,32,20,False,False
163,32,15.68,85,36,False,False
177,38,3.08,103,39,False,False
178,16,2.89,27,17,False,False
184,24,2.88,37,24,False,False
186,89,2.61,229,100,True,False
206,11,2.88,21,13,False,False
210,14,5.98,14,16,False,False
217,11,5.84,18,11,False,False
220,11,4.49,11,13,False,False
221,46,3.58,69,48,False,False
